SUBJECTCODE,STUDYPERIOD,TOTAL_WEIGHT,GAP,SEVERITY,ASSESSMENT_TYPES_PRESENT,ASSESSMENT_TYPES_MISSING_ESTIMATE
ACC100,23.3,95.0,5.0,MINOR,"FE, GR, ME, TX, OQ",likely OQ missing
ACC100,24.1,95.0,5.0,MINOR,"FE, GR, ME, TX, OQ",likely OQ missing
ACC100,24.2,95.0,5.0,MINOR,"FE, ME, GR, TX, OQ",likely OQ missing
ACC100,24.3,95.0,5.0,MINOR,"FE, GR, ME, TX, OQ",likely OQ missing
ACC101,23.2,95.0,5.0,MINOR,"FE, GR, ME, OQ",likely OQ missing
ACC101,23.3,95.0,5.0,MINOR,"FE, ME, GR, OQ",likely OQ missing
ACC101,24.1,95.0,5.0,MINOR,"FE, GR, ME, OQ",likely OQ missing
ACC101,24.2,95.0,5.0,MINOR,"FE, ME, GR, OQ",likely OQ missing
ACC101,24.3,95.0,5.0,MINOR,"FE, GR, ME, OQ",likely OQ missing
ACC201,23.2,95.0,5.0,MINOR,"FE, GR, ME, OQ",likely OQ missing
ACC201,23.3,95.0,5.0,MINOR,"FE, GR, ME, OQ",likely OQ missing
ACC201,24.1,95.0,5.0,MINOR,"FE, GR, ME, OQ",likely OQ missing
ACC201,24.2,95.0,5.0,MINOR,"FE, GR, ME, OQ",likely OQ missing
ACC201,24.3,95.0,5.0,MINOR,"FE, ME, GR, OQ",likely OQ missing
ACC202,23.2,95.0,5.0,MINOR,"FE, ME, PJ, OQ",likely OQ missing
ACC202,23.3,95.0,5.0,MINOR,"FE, ME, PJ, OQ",likely OQ missing
ACC202,24.1,95.0,5.0,MINOR,"FE, PJ, ME, OQ",likely OQ missing
ACC202,24.2,95.0,5.0,MINOR,"FE, PJ, ME, OQ",likely OQ missing
ACC202,24.3,95.0,5.0,MINOR,"FE, ME, PJ, OQ",likely OQ missing
ACC300,23.2,95.0,5.0,MINOR,"FE, GR, ME, OQ",likely OQ missing
ACC300,23.3,95.0,5.0,MINOR,"FE, GR, ME, OQ",likely OQ missing
ACC300,24.1,95.0,5.0,MINOR,"FE, GR, ME, OQ",likely OQ missing
ACC300,24.2,95.0,5.0,MINOR,"FE, ME, GR, OQ",likely OQ missing
ACC300,24.3,95.0,5.0,MINOR,"FE, GR, ME, OQ",likely OQ missing
BUS104,24.2,95.0,5.0,MINOR,"IA, PJ, DA, GP",likely OQ missing
ICT103,23.1,95.0,5.0,MINOR,"FE, CP, MB, TX",likely OQ missing
ICT103,23.2,95.0,5.0,MINOR,"FE, CP, MB, TX",likely OQ missing
ICT103,23.3,95.0,5.0,MINOR,"FE, CP, MB, TX",likely OQ missing
ICT204,23.2,95.0,5.0,MINOR,"FE, TR, PJ, OQ",likely OQ missing
ICT204,23.3,95.0,5.0,MINOR,"FE, TR, PJ, OQ",likely OQ missing
ICT204,24.1,95.0,5.0,MINOR,"FE, TR, PJ, OQ",likely OQ missing
ICT204,24.2,95.0,5.0,MINOR,"FE, TR, PJ, OQ",likely OQ missing
ICT204,24.3,95.0,5.0,MINOR,"FE, TR, PJ, OQ",likely OQ missing
ICT204,25.1,95.0,5.0,MINOR,"FE, TR, PJ, OQ",likely OQ missing
ICT204,25.2,95.0,5.0,MINOR,"FE, TR, PJ, OQ",likely OQ missing
ICT204,25.3,95.0,5.0,MINOR,"FE, TR, PJ, OQ",likely OQ missing
ICT274,23.2,95.0,5.0,MINOR,"FE, GR, TX, IA, OQ",likely OQ missing
ICT274,23.3,95.0,5.0,MINOR,"FE, GR, IA, TX, OQ",likely OQ missing
ICT274,24.1,95.0,5.0,MINOR,"FE, GR, IA, TX, OQ",likely OQ missing
ICT274,24.2,95.0,5.0,MINOR,"FE, GR, IA, TX, OQ",likely OQ missing
ICT274,24.3,95.0,5.0,MINOR,"IA, GR, TX, FE, OQ",likely OQ missing
ICT274,25.2,95.0,5.0,MINOR,"GR, IA, TX, GP, OQ",likely OQ missing
ICT303,23.2,95.0,5.0,MINOR,"FE, AA, CP, TP, OQ",likely OQ missing
ICT303,23.3,95.0,5.0,MINOR,"FE, AA, CP, TP, OQ",likely OQ missing
ICT303,24.1,95.0,5.0,MINOR,"FE, AA, CP, TP, OQ",likely OQ missing
ICT726,24.1,95.0,5.0,MINOR,"PJ, DA, TX, OQ",likely OQ missing
ICT726,24.2,95.0,5.0,MINOR,"PJ, DA, TX, OQ",likely OQ missing
ICT726,24.3,95.0,5.0,MINOR,"DA, PJ, TX, OQ",likely OQ missing
